timestamp,joints,joint angle
23/06/11 17:33:34.578,"[4, 3, 2]",177.81137594458622
23/06/11 17:33:34.578,"[3, 2, 1]",175.956688222452
23/06/11 17:33:34.578,"[2, 1, 0]",160.78144520202628
23/06/11 17:33:34.579,"[8, 7, 6]",166.64353973324185
23/06/11 17:33:34.579,"[12, 11, 10]",166.76651111453302
23/06/11 17:33:34.579,"[16, 15, 14]",173.89075082453132
23/06/11 17:33:34.579,"[20, 19, 18]",174.48911144574282
23/06/11 17:33:34.647,"[4, 3, 2]",179.2010205777147
23/06/11 17:33:34.648,"[3, 2, 1]",175.67816006458978
23/06/11 17:33:34.648,"[2, 1, 0]",154.68183437760524
23/06/11 17:33:34.648,"[8, 7, 6]",149.90252034923807
23/06/11 17:33:34.648,"[12, 11, 10]",167.33783048761285
23/06/11 17:33:34.649,"[16, 15, 14]",172.86093660853933
23/06/11 17:33:34.649,"[20, 19, 18]",169.98725340980317
23/06/11 17:33:34.649,"[4, 3, 2]",174.90141676940286
23/06/11 17:33:34.649,"[3, 2, 1]",179.81332951595405
23/06/11 17:33:34.650,"[2, 1, 0]",159.1587038501816
23/06/11 17:33:34.650,"[8, 7, 6]",163.32506874604914
23/06/11 17:33:34.650,"[12, 11, 10]",171.65589392079295
23/06/11 17:33:34.650,"[16, 15, 14]",171.93315307458764
23/06/11 17:33:34.651,"[20, 19, 18]",170.92187516457352
23/06/11 17:33:34.716,"[4, 3, 2]",176.9527307485613
23/06/11 17:33:34.716,"[3, 2, 1]",176.69267179241393
23/06/11 17:33:34.717,"[2, 1, 0]",153.77575157693096
23/06/11 17:33:34.717,"[8, 7, 6]",152.6609677088894
23/06/11 17:33:34.717,"[12, 11, 10]",168.86059338824856
23/06/11 17:33:34.718,"[16, 15, 14]",173.053619709537
23/06/11 17:33:34.718,"[20, 19, 18]",169.80095029979424
23/06/11 17:33:34.718,"[4, 3, 2]",177.94632766561404
23/06/11 17:33:34.718,"[3, 2, 1]",178.86291668598625
23/06/11 17:33:34.719,"[2, 1, 0]",163.6463153929672
23/06/11 17:33:34.719,"[8, 7, 6]",168.2986571463659
23/06/11 17:33:34.719,"[12, 11, 10]",168.80678156999213
23/06/11 17:33:34.719,"[16, 15, 14]",174.99557020080948
23/06/11 17:33:34.720,"[20, 19, 18]",175.6536503007093
23/06/11 17:33:34.784,"[4, 3, 2]",176.86758264319903
23/06/11 17:33:34.784,"[3, 2, 1]",175.87952246883674
23/06/11 17:33:34.785,"[2, 1, 0]",153.8110214033198
23/06/11 17:33:34.785,"[8, 7, 6]",151.83868999028408
23/06/11 17:33:34.785,"[12, 11, 10]",169.64747515666363
23/06/11 17:33:34.785,"[16, 15, 14]",173.18006553030617
23/06/11 17:33:34.786,"[20, 19, 18]",169.3318063030458
23/06/11 17:33:34.786,"[4, 3, 2]",178.12237526593276
23/06/11 17:33:34.786,"[3, 2, 1]",172.9782496974422
23/06/11 17:33:34.786,"[2, 1, 0]",156.51870979540115
23/06/11 17:33:34.787,"[8, 7, 6]",161.8624662534468
23/06/11 17:33:34.787,"[12, 11, 10]",168.5993029991861
23/06/11 17:33:34.787,"[16, 15, 14]",172.06427993672474
23/06/11 17:33:34.787,"[20, 19, 18]",173.11550184602808
23/06/11 17:33:34.848,"[4, 3, 2]",177.1243274677288
23/06/11 17:33:34.848,"[3, 2, 1]",175.67268395155043
23/06/11 17:33:34.848,"[2, 1, 0]",155.05208605028858
23/06/11 17:33:34.849,"[8, 7, 6]",150.38589090401868
23/06/11 17:33:34.849,"[12, 11, 10]",167.6442085076431
23/06/11 17:33:34.849,"[16, 15, 14]",172.4486689221065
23/06/11 17:33:34.849,"[20, 19, 18]",169.2379235429504
23/06/11 17:33:34.850,"[4, 3, 2]",177.8500580468946
23/06/11 17:33:34.850,"[3, 2, 1]",173.7165850865099
23/06/11 17:33:34.850,"[2, 1, 0]",158.42699101157092
23/06/11 17:33:34.851,"[8, 7, 6]",163.23999987448047
23/06/11 17:33:34.851,"[12, 11, 10]",168.9835865069766
23/06/11 17:33:34.851,"[16, 15, 14]",174.2744785230512
23/06/11 17:33:34.851,"[20, 19, 18]",175.43833316877868
23/06/11 17:33:34.921,"[4, 3, 2]",177.4174241297931
23/06/11 17:33:34.921,"[3, 2, 1]",175.50222240665914
23/06/11 17:33:34.921,"[2, 1, 0]",153.5399186391265
23/06/11 17:33:34.922,"[8, 7, 6]",150.86154638856846
23/06/11 17:33:34.922,"[12, 11, 10]",169.8423245709098
23/06/11 17:33:34.922,"[16, 15, 14]",173.3070054533969
23/06/11 17:33:34.923,"[20, 19, 18]",169.38932683601467
23/06/11 17:33:34.923,"[4, 3, 2]",177.2094023733439
23/06/11 17:33:34.923,"[3, 2, 1]",175.12100535785976
23/06/11 17:33:34.923,"[2, 1, 0]",153.96928539566701
23/06/11 17:33:34.923,"[8, 7, 6]",167.4619630949513
