time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
12:25:21.425,0,-0.01,0,0,0,0,-0.01,-0.02
12:25:21.434,0,-0.01,0,0,0,0,-0.01,-0.02
12:25:21.443,-0.01,0,0,0,0.02,0,0.01,0
12:25:21.485,-0.01,0,0.01,0,0,0,0,0
12:25:21.496,-0.01,0,0.01,0,0,0,0,0
12:25:21.509,-0.01,-0.01,0,0,0,0,0,-0.02
12:25:21.521,0,-0.01,0,-0.01,-0.01,0,0,0
12:25:21.532,-0.01,0,0,-0.01,0,-0.01,0,0
12:25:21.544,0,0,-0.01,0,0,0,0,0
12:25:21.555,0,0,-0.01,0,0,0,0,0
12:25:21.597,0.01,0,0,0,0,0,0,0
12:25:21.609,0,0,-0.01,-0.02,-0.01,-0.01,0,0
12:25:21.622,-0.01,0,0,0.02,0,-0.01,0,0
12:25:21.632,-0.01,0,0,0.02,0,-0.01,0,0
12:25:21.642,-0.01,0,0,0.02,0,-0.01,0,0
12:25:21.652,0,0,0,0,-0.01,0,-0.01,0
12:25:21.664,-0.01,-0.01,0,0,0,0,-0.01,0
12:25:21.713,0,0,0,0,-0.01,0,0,0
12:25:21.724,0.01,0,-0.01,0,0,0,-0.01,0
12:25:21.737,-0.01,0,0,0,0,0,0.01,-0.01
12:25:21.747,0,-0.02,0,-0.02,0,0,0,0
12:25:21.757,0,-0.02,0,-0.02,0,0,0,0
12:25:21.766,-0.02,-0.01,0,0,0,0,0,0
12:25:21.778,-0.01,0,0,0,0,0,0.01,-0.01
12:25:21.823,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,0
12:25:21.835,-0.01,0,-0.02,0,-0.01,0,-0.01,-0.01
12:25:21.846,0,0,-0.01,0,0,0,0,0
12:25:21.856,0,0,-0.01,0,0,0,0,0
12:25:21.865,-0.01,-0.01,0,0,0,0,-0.01,0
12:25:21.877,-0.01,-0.01,0,0,0,0,-0.01,0
12:25:21.887,0,-0.01,0,0,0,0,0,-0.01
12:25:21.930,0,0,0,0,0,0,0,0
12:25:21.942,0,0,0,0,0,0,0,0
12:25:21.955,-0.01,0,0,-0.01,0,-0.01,0,-0.02
12:25:21.965,0,-0.01,0,0,0,-0.01,0,0
12:25:21.975,0,-0.01,0,0,0,-0.01,0,0
12:25:21.987,0,-0.01,0,0,0,-0.01,0,0
12:25:21.997,0,0,-0.02,-0.01,0,0,-0.01,0
12:25:22.049,0,-0.01,0,0,0,0,0,-0.01
12:25:22.061,0,-0.01,0,0,0,0,0,-0.01
12:25:22.072,-0.01,0,0,-0.01,-0.01,-0.01,0,0
12:25:22.085,-0.01,0,-0.01,0,0,0,0,0
12:25:22.095,0,0,0,0,0,0,0,0
12:25:22.106,0,0,-0.01,0,-0.01,0,0,0
12:25:22.154,-0.02,-0.01,0,0,0.01,0,0,0
12:25:22.165,0,0,0,0,0,0,0,0
12:25:22.177,0,0,0,0,0,0,0,0
