New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index,middle,ring,little
35:10.529,0.01,-0.01,-0.01,0.01,0.02,-0.09,0.01,0.02,162.654405561167,151.825783365595,152.192901178032,164.22395808747,164.22395808747
35:10.540,0.01,-0.01,-0.01,0.01,0.02,-0.09,0.01,0.02,162.907423380377,152.045933222409,152.173490703789,164.084430692837,164.084430692837
35:10.551,0.02,-0.04,-0.08,-0.02,-0.04,-0.03,0,0,163.160441199587,152.266083079223,152.154080229546,163.944903298205,163.944903298205
35:10.563,0.01,0.01,0.09,0,-0.03,-0.11,0.03,0,163.20950399104,151.899648518825,152.157246287661,163.725663206698,163.725663206698
35:10.579,0,-0.05,-0.04,0.02,-0.02,-0.05,-0.05,-0.02,163.258566782493,151.533213958432,152.160412345776,163.506423115196,163.506423115196
35:10.631,0.02,0.03,0.02,0,0.03,0.05,0,0,163.442895783723,151.445779311372,151.406379645596,162.834173962459,162.834173962459
35:10.643,0.02,0.03,0.02,0,0.03,0.05,0,0,163.627224784948,151.358344664312,150.652346945426,162.161924809734,162.161924809734
35:10.654,0.01,0,-0.02,0,-0.01,-0.13,-0.02,0.01,163.613031009279,151.305301307001,150.494611365328,162.024766888033,162.024766888033
35:10.665,0.01,0,-0.02,0,-0.01,-0.13,-0.02,0.01,163.598837233611,151.252257949689,150.336875785229,161.887608966332,161.887608966332
35:10.676,0,0,-0.03,0.01,-0.03,-0.34,-0.01,0,163.584643457942,151.199214592378,150.179140205128,161.750451044631,161.750451044631
35:10.687,0,0,0.01,-0.02,-0.02,-0.11,-0.15,0,163.570449682273,151.146171235066,150.021404625029,161.613293122933,161.613293122933
35:10.697,0,0.02,0.05,0.05,0,0.15,0.04,0,163.556255906604,151.093127877752,149.863669044928,161.476135201232,161.476135201232
35:10.745,-0.01,0,-0.04,0,0.06,0.45,0.01,-0.01,163.542062130935,151.04008452044,149.705933464832,161.338977279531,173.22547455228
35:10.758,-0.02,-0.01,-0.03,-0.06,-0.03,-0.03,0.01,-0.03,163.560041612494,151.102202118753,149.675371030199,161.470851259079,161.470851259079
35:10.767,0.01,-0.01,-0.02,0.01,0.03,0.11,0,0,163.578021094053,151.164319717065,149.644808595565,161.602725238623,161.602725238623
35:10.780,0.01,-0.01,-0.02,0.01,0.03,0.11,0,0,163.596000575612,151.226437315378,149.614246160932,161.734599218173,161.734599218173
35:10.789,0.01,0.01,0,0.03,0.02,0.04,-0.02,-0.01,163.613980057172,151.288554913692,149.583683726297,161.866473197726,161.866473197726
35:10.801,0,0.01,0.12,-0.03,-0.01,0,0.02,0,163.631959538731,151.350672512004,149.553121291663,161.998347177277,174.230360602833
35:10.845,0,0,-0.06,-0.01,0.01,0.02,0.04,0.02,163.609602624638,151.439544320074,149.614140879069,162.174860164647,162.174860164647
35:10.856,-0.02,0,0.04,0.01,-0.01,-0.13,0,0,163.587245710545,151.528416128143,149.675160466477,162.351373152018,162.351373152018
35:10.866,0,0.01,0,-0.03,-0.06,-0.45,0,0,163.564888796452,151.617287936213,149.736180053883,162.527886139385,162.527886139385
35:10.878,0,0,0,-0.05,-0.02,-0.1,-0.03,-0.02,163.542531882359,151.706159744281,149.797199641287,162.704399126749,162.704399126749
35:10.890,-0.01,-0.04,-0.07,-0.06,-0.05,0.04,-0.01,-0.02,163.340363225991,151.676117182687,149.905779513374,162.63591240812,162.63591240812
35:10.901,-0.01,-0.04,-0.07,-0.06,-0.05,0.04,-0.01,-0.02,163.138194569627,151.646074621092,150.014359385459,162.567425689491,162.567425689491
35:10.913,0,0.01,0.07,0.01,0,0.03,-0.03,0.01,162.936025913255,151.616032059498,150.12293925755,162.498938970859,162.498938970859
35:10.971,0.01,0,0.01,0.03,0.01,-0.05,-0.01,0,162.987425395998,151.472178631946,150.299148797729,162.621865560686,162.621865560686
35:10.985,0.01,0,0.01,0.03,0.01,-0.05,-0.01,0,163.03882487874,151.328325204398,150.475358337904,162.744792150511,162.744792150511
35:10.995,0,0,-0.05,0.02,0.01,0.03,-0.04,0,162.652889641362,151.047883041727,150.335319626942,162.849802722204,162.849802722204
35:11.005,0,0,-0.05,0.02,0.01,0.03,-0.04,0,162.266954403982,150.767440879055,150.195280915981,162.954813293894,162.954813293894
35:11.017,-0.03,-0.03,-0.11,-0.03,0.01,0.29,0.04,0,161.881019166598,150.486998716384,150.055242205019,163.059823865588,163.059823865588
35:11.061,-0.01,-0.05,-0.1,0,-0.06,-0.57,-0.05,-0.01,161.498202464187,150.228589477545,150.21899503989,163.075459348031,163.075459348031
35:11.074,-0.01,0.02,0.02,-0.04,-0.02,0.04,0.02,0,161.11538576179,149.970180238714,150.382747874763,163.091094830473,163.091094830473
35:11.086,-0.01,0.02,0.02,-0.04,-0.02,0.04,0.02,0,160.732569059372,149.711770999871,150.546500709635,163.106730312916,163.106730312916
35:11.097,0,0,0.09,-0.03,0,0.25,-0.04,0,160.34975235696,149.453361761043,150.710253544508,163.122365795359,163.122365795359
35:11.107,0,0,0.09,-0.03,0,0.25,-0.04,0,160.014323993189,149.20978684934,150.61070567368,163.147478004777,163.147478004777
35:11.119,-0.01,-0.01,0,0,0,-0.44,0.05,0,159.678895629411,148.966211937637,150.511157802852,163.172590214195,163.172590214195
35:11.131,0,-0.04,-0.09,0.01,0.02,0.28,0.01,0,159.343467265637,148.72263702593,150.411609932022,163.197702423613,163.197702423613
35:11.173,0.01,0,0,0.01,0,0.05,0.04,0.02,159.446503859923,148.701326249255,150.567144747669,163.243311128123,163.243311128123
35:11.185,-0.01,-0.01,-0.05,-0.02,0.01,0.13,-0.01,-0.01,159.549540454207,148.68001547258,150.722679563314,163.288919832632,163.288919832632
35:11.195,0,0,0,-0.04,-0.06,0.12,-0.1,-0.01,159.65257704849,148.658704695905,150.878214378961,163.334528537142,163.334528537142
35:11.206,0,0,0,-0.04,-0.06,0.12,-0.1,-0.01,159.37664777871,148.636726137145,150.992009121319,163.410160584064,163.410160584064
35:11.217,0,-0.04,-0.09,0.02,0.02,0.38,0.07,0,159.100718508933,148.614747578384,151.10580386368,163.485792630985,163.485792630985
35:11.229,0,-0.04,-0.09,0.02,0.02,0.38,0.07,0,158.824789239159,148.592769019624,151.219598606036,163.561424677906,163.561424677906
35:11.240,-0.01,0.02,0.04,-0.02,0.01,-0.02,0.03,-0.04,158.548859969371,148.570790460863,151.333393348395,163.63705672483,163.63705672483
35:11.284,0.01,0.06,0.19,0,0,0.01,-0.18,-0.01,158.272930699604,148.548811902103,151.447188090753,163.712688771751,179.286855745446
35:11.297,-0.01,-0.01,0.07,-0.02,-0.01,0.1,0.01,0,158.174438985883,148.70665875755,151.830506365979,164.056101329294,164.056101329294
35:11.312,0.05,0,-0.04,0.06,0.04,-0.02,0.12,0.03,158.075947272162,148.864505612994,152.2138246412,164.399513886834,164.399513886834
35:11.330,-0.05,-0.09,-0.08,-0.05,-0.04,-0.02,-0.22,0.01,157.977455558439,149.022352468444,152.597142916427,164.742926444393,164.742926444393
35:11.341,-0.05,-0.09,-0.08,-0.05,-0.04,-0.02,-0.22,0.01,158.000788394535,148.883997209772,152.391777686878,164.60139848894,164.60139848894
35:11.387,-0.01,0,-0.02,0.07,0.03,0.02,-0.07,-0.04,158.024121230631,148.745641951104,152.186412457333,164.459870533487,164.459870533487
