New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index+middle,ring+little
35:20.996,0,-0.01,0,-0.02,0,-0.86,-0.09,0.02,126.324106282322,147.145545905427,158.85681012338
35:21.005,0,0.01,0.04,-0.01,-0.03,0.01,-0.02,-0.02,128.637687175942,147.387337507205,158.890181065376
35:21.015,-0.01,-0.02,0,-0.03,-0.07,0.09,-0.3,-0.01,130.217358156719,147.459007681979,159.087163488348
35:21.026,-0.01,0,0,0,0.02,-0.22,0.04,0.01,131.797029137495,147.530677856753,159.284145911319
35:21.039,0.01,0.01,-0.02,0.01,0.06,0.3,-0.02,0,133.376700118271,147.602348031525,159.481128334293
35:21.048,0,-0.05,0.12,0,0,-0.1,-0.05,-0.01,134.95637109899,147.674018206297,159.678110757261
35:21.090,-0.01,-0.03,-0.11,-0.02,0.02,0.3,0.08,0.01,134.177452519507,147.514720599169,159.605221481095
35:21.099,-0.01,-0.03,-0.11,-0.02,0.02,0.3,0.08,0.01,133.398533940039,147.355422992044,159.53233220493
35:21.109,0,0.04,0.01,0.03,0.05,0.01,-0.03,0,133.696760411669,147.329075146959,159.658806274949
35:21.120,0,0,0,-0.03,-0.08,0.01,0.01,0,133.994986883292,147.302727301872,159.785280344968
35:21.131,0,0,0.01,0,0.01,0.08,0.07,0.01,134.293213354918,147.276379456785,159.911754414985
35:21.141,0,0,-0.01,-0.01,-0.05,-0.37,-0.08,-0.01,134.59143982656,147.250031611699,160.038228485006
35:21.150,0,0,-0.01,-0.01,-0.05,-0.37,-0.08,-0.01,134.889666298183,147.223683766615,166.600071976806
35:21.208,-0.01,-0.01,-0.03,-0.01,0.01,-0.3,0.04,0,134.3938189482,147.432505475917,160.499082652248
35:21.218,0,0.01,0,-0.02,-0.07,-0.14,-0.02,0.01,133.897971598213,147.64132718522,160.833462749462
35:21.228,0,0.01,0,-0.02,-0.07,-0.14,-0.02,0.01,133.402124248227,147.850148894522,161.167842846684
35:21.240,0,0.01,0,-0.01,0,0.39,0,0,132.90627689824,148.058970603828,161.502222943906
35:21.249,0,0.01,0,-0.01,0,0.39,0,0,132.410429548254,148.267792313135,161.836603041127
35:21.259,-0.01,-0.01,-0.01,-0.01,-0.01,0.16,0.06,0,133.045867122695,148.485797360014,162.216578753239
35:21.268,0,-0.01,-0.01,-0.01,0.03,-0.16,-0.06,0,133.681304697144,148.703802406894,162.596554465355
35:21.312,0,0,-0.05,0,0.04,-0.38,0.02,0.01,133.721399458658,148.715233568351,162.619487489075
35:21.322,0,0.02,-0.01,-0.02,-0.04,0.21,0,0,133.761494220173,148.726664729808,162.642420512794
35:21.333,0,0,0,-0.01,-0.03,-0.28,-0.15,0,133.801588981688,148.738095891266,162.665353536514
35:21.342,0.01,0.01,0.14,0,0,0.02,-0.07,0,133.841683743201,148.749527052723,162.688286560234
35:21.351,0.01,0.01,0.14,0,0,0.02,-0.07,0,134.095296070431,148.657401559674,162.698733410881
35:21.360,0,0.01,-0.04,0,-0.03,0.05,-0.01,-0.03,134.34890839766,148.565276066623,162.709180261529
35:21.369,0.01,0,0,-0.02,-0.07,0.03,0.02,0,134.602520724889,148.473150573574,162.719627112177
35:21.379,0,0,-0.02,-0.01,0.01,0,-0.01,0.01,134.856133052119,148.381025080525,162.730073962825
35:21.421,-0.01,-0.02,-0.03,0,0.07,-0.27,-0.08,-0.01,134.919333981449,148.123315956069,162.567012503665
35:21.431,-0.01,-0.02,-0.03,0,0.07,-0.27,-0.08,-0.01,134.982534910779,147.865606831616,162.403951044504
35:21.439,0.02,0.03,0.02,0.03,0.08,0.25,0.19,0.01,135.045735840108,147.607897707163,162.240889585348
35:21.448,0,-0.01,-0.02,0,0.02,0.11,0.01,0.04,136.118404706707,147.569253926511,162.348853308717
35:21.457,0,0.03,0.05,0.02,0.06,0.11,0,0.01,137.191073573311,147.530610145858,162.456817032082
35:21.467,0,0.03,0.05,0.02,0.06,0.11,0,0.01,138.263742439944,147.491966365206,162.564780755452
35:21.478,-0.01,-0.01,0.04,0.01,0.01,-0.08,-0.02,-0.04,139.336411306576,147.453322584555,162.672744478821
35:21.487,-0.01,-0.04,-0.07,0,0.03,-0.41,-0.12,-0.03,140.40908017318,147.414678803903,162.78070820219
35:21.527,-0.01,-0.04,-0.07,0,0.03,-0.41,-0.12,-0.03,140.248032183063,147.623633357426,163.11533592339
35:21.537,-0.01,-0.04,-0.07,0,0.03,-0.41,-0.12,-0.03,140.086984192949,147.832587910949,163.449963644583
35:21.547,0.02,0.01,0,-0.02,-0.09,-0.24,0.03,0.02,140.123402636096,147.823993014995,163.516495834441
35:21.564,0,-0.01,-0.03,0,0.01,0.14,0.01,0.02,140.159821079244,147.81539811904,163.583028024299
35:21.576,0,-0.01,-0.08,-0.06,-0.05,-0.02,-0.02,-0.02,140.196239522391,147.806803223087,163.649560214157
35:21.588,0,-0.01,-0.08,-0.06,-0.05,-0.02,-0.02,-0.02,140.99692265693,148.097328607513,164.226743068997
35:21.634,0,0,0.05,0,-0.01,-0.26,-0.01,0,141.797605791478,148.387853991942,164.80392592385
35:21.643,0,0.03,0.04,0.01,0,0.17,-0.09,0,142.182364847176,148.342809014853,164.745902688257
35:21.654,0,0.03,0.04,0.01,0,0.17,-0.09,0,142.56712390286,148.297764037764,164.687879452664
