time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:11.398,0,0,0.01,0,0.02,0.17,0.02,-0.02
11:35:11.410,0,0,0.01,0,0.02,0.17,0.02,-0.02
11:35:11.424,-0.01,0,0,0,-0.01,-0.18,-0.07,-0.02
11:35:11.435,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03
11:35:11.447,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03
11:35:11.459,-0.01,-0.01,-0.03,-0.02,-0.02,-0.04,0.21,0.01
11:35:11.506,0,0,-0.05,-0.03,-0.01,-0.13,0.08,0.03
11:35:11.518,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01
11:35:11.528,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01
11:35:11.539,0,0,0.01,0,0.02,0.2,0.02,0.03
11:35:11.551,0.01,-0.04,-0.04,0,0.04,0.37,-0.1,0
11:35:11.562,-0.01,-0.03,-0.04,0,0.04,0.14,-0.2,-0.06
11:35:11.605,0,0.01,0.02,0,0.04,0.22,0.02,0.03
11:35:11.615,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02
11:35:11.626,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02
11:35:11.644,0.01,0,-0.03,-0.02,0.01,-0.09,0,0.04
11:35:11.657,0,0.02,0,0.01,0,-0.03,-0.01,0
11:35:11.673,0,0.01,0.02,0.04,0.04,0.09,0.13,0
11:35:11.713,-0.01,-0.03,-0.11,-0.02,-0.03,0.3,0,-0.01
11:35:11.725,0,-0.01,-0.03,0.02,0.01,-0.23,-0.25,0
11:35:11.738,0,-0.01,-0.05,-0.02,-0.01,0.02,-0.11,-0.05
11:35:11.751,-0.01,-0.04,0.01,0,0,-0.07,0.15,0
11:35:11.765,-0.01,-0.04,0.01,0,0,-0.07,0.15,0
11:35:11.775,0,0.01,0.11,0,-0.03,-0.07,-0.06,-0.01
11:35:11.787,0,-0.01,-0.01,0,0,-0.21,0.01,0.01
11:35:11.838,0,0.02,0,-0.02,-0.01,-0.06,0,-0.02
11:35:11.850,-0.03,0,0.01,0,-0.01,0.26,-0.15,-0.03
11:35:11.863,0.01,0,0.02,-0.03,0,0.09,0,0
11:35:11.873,0,0,0,0.01,-0.03,0.03,0.03,0
11:35:11.884,0,0,0,0.01,-0.03,0.03,0.03,0
11:35:11.894,-0.01,-0.03,-0.17,-0.03,-0.04,-0.39,-0.09,-0.01
11:35:11.943,0,0,-0.06,0,0.02,0.4,0.05,0.02
11:35:11.954,0,0,-0.06,0,0.02,0.4,0.05,0.02
11:35:11.964,0,0,-0.01,0.05,0,0,0.03,-0.03
11:35:11.974,0,0,0.08,0,0.01,0.09,-0.01,0
11:35:11.986,0,0,0.08,0,0.01,0.09,-0.01,0
11:35:12.000,-0.02,0.01,0,-0.03,0,-0.19,-0.05,-0.04
11:35:12.054,0.02,0.01,0.03,0.01,-0.04,-0.61,0.06,0.01
11:35:12.067,0.02,0.01,0.03,0.01,-0.04,-0.61,0.06,0.01
11:35:12.080,-0.01,0,0.08,0,0.02,0.18,-0.14,-0.01
11:35:12.093,-0.01,0,0.08,0,0.02,0.18,-0.14,-0.01
11:35:12.102,0,0,0.03,0,-0.08,-0.52,-0.01,-0.03
11:35:12.112,0.02,0,-0.04,0,0.03,0.31,-0.02,0.01
11:35:12.154,-0.01,0,0,-0.03,0.02,0.25,-0.05,0.02
11:35:12.165,-0.01,0,0,-0.03,0.02,0.25,-0.05,0.02
11:35:12.175,-0.04,-0.02,-0.04,-0.01,-0.01,-0.13,-0.42,-0.06
11:35:12.186,-0.04,-0.02,-0.04,-0.01,-0.01,-0.13,-0.42,-0.06
11:35:12.195,0,0,0,-0.02,-0.11,-0.45,0,0
11:35:12.205,0,0,0,-0.02,-0.11,-0.45,0,0
11:35:12.215,-0.01,-0.01,-0.06,0,0.02,0.33,-0.02,0
11:35:12.226,0,-0.03,0.02,-0.04,-0.03,0.18,-0.06,-0.02
11:35:12.271,0,-0.03,0.02,-0.04,-0.03,0.18,-0.06,-0.02
11:35:12.281,0,-0.01,-0.03,0.01,0.01,-0.17,0.07,0.02
11:35:12.291,-0.02,-0.04,-0.07,-0.03,-0.03,0.12,-0.28,0
11:35:12.302,0,-0.01,-0.02,0.02,0.02,0.15,0.14,0.01
11:35:12.314,0,0,0,0.01,0.01,0.03,0.16,0
11:35:12.325,0,0,0,0.01,0.01,0.03,0.16,0
11:35:12.334,-0.06,-0.03,-0.02,-0.05,-0.06,0,-0.3,-0.09
11:35:12.394,0.01,0,-0.03,-0.03,-0.02,-0.07,0.14,-0.01
11:35:12.406,0.01,0,-0.03,-0.03,-0.02,-0.07,0.14,-0.01
11:35:12.418,0,0,0.03,-0.03,-0.04,0.07,-0.07,-0.03
11:35:12.432,-0.01,-0.04,-0.01,-0.01,-0.01,-0.48,0.08,-0.02
11:35:12.442,-0.01,-0.04,-0.01,-0.01,-0.01,-0.48,0.08,-0.02
11:35:12.486,0.01,0,0,0.01,0.04,0.28,0.1,0.02
11:35:12.497,0.01,0,0,0.01,0.04,0.28,0.1,0.02
11:35:12.507,0,-0.03,-0.09,0,-0.04,-0.58,-0.01,0.05
11:35:12.519,0,0.01,0.04,-0.01,-0.02,-0.09,-0.28,-0.07
11:35:12.531,0,-0.02,0.02,0,-0.04,-0.68,-0.25,0.01
11:35:12.545,0,0,-0.01,0.03,-0.02,0.34,-0.14,-0.06
11:35:12.589,-0.03,-0.01,-0.01,-0.05,-0.09,-0.42,-0.39,0
11:35:12.601,0,0.04,0.22,0,-0.02,-0.06,0.01,-0.01
11:35:12.612,-0.01,-0.02,-0.09,-0.04,-0.03,-0.08,0,-0.01
11:35:12.624,-0.01,-0.02,-0.09,-0.04,-0.03,-0.08,0,-0.01
11:35:12.634,0,0,0.04,0,0,0,0.08,0.04
11:35:12.644,0,0,0.04,0,0,0,0.08,0.04
11:35:12.654,-0.03,-0.03,-0.08,-0.01,0.01,0.4,0.01,-0.01
11:35:12.702,0.01,0.01,0.02,-0.03,-0.01,-0.04,-0.05,0
11:35:12.716,-0.02,0,-0.02,0,-0.04,0.02,-0.16,-0.06
11:35:12.728,-0.02,0,-0.02,0,-0.04,0.02,-0.16,-0.06
11:35:12.738,0.04,0.02,0.17,0.03,0.1,0.09,1.04,0.1
11:35:12.752,0.04,0.02,0.17,0.03,0.1,0.09,1.04,0.1
11:35:12.763,0,0,-0.06,0,0.07,0.18,0.03,0.04
11:35:12.805,0,0,-0.02,0.03,0,0,-0.24,-0.04
11:35:12.815,-0.02,-0.06,-0.07,-0.05,0,-0.04,-0.07,0
11:35:12.825,-0.02,-0.06,-0.07,-0.05,0,-0.04,-0.07,0
11:35:12.835,-0.02,-0.03,-0.08,-0.04,-0.08,-0.23,-0.5,-0.16
11:35:12.845,-0.02,-0.03,-0.08,-0.04,-0.08,-0.23,-0.5,-0.16
11:35:12.857,0.01,0.04,0.08,0.02,0.01,0.1,0.13,0.05
11:35:12.868,0.01,0.04,0.08,0.02,0.01,0.1,0.13,0.05
11:35:12.914,-0.01,-0.04,-0.09,-0.02,-0.05,-0.53,0.02,0
11:35:12.925,-0.01,-0.04,-0.09,-0.02,-0.05,-0.53,0.02,0
11:35:12.938,-0.01,-0.04,-0.09,-0.02,-0.05,-0.53,0.02,0
11:35:12.951,0,-0.02,0,-0.01,0.03,0.33,-0.01,-0.02
11:35:12.961,0,-0.01,-0.01,-0.01,0.04,0.25,-0.03,0
